b2b,is_home,pp_boost,ai_factor,player_id,prob_goal,prob_shot,opp_sv_pct,prob_point,pp_reliance,prob_assist,toi_minutes,games_played,goals_per_game,shots_per_game,algo_score_goal,algo_score_shot,fatigue_penalty,points_per_game,assists_per_game,sh_pct_regression,label_goal,label_assist,label_point,label_shot,game_id,date,l5_hot,l5_cold,l5_goal,l5_shot,l5_point,l5_assist,l5_l5_pts,l5_l5_goals,l5_l5_shots,l5_toi_drop_factor,l5_sh_pct_regression,l5_days_since_last_game,h2h_goal,h2h_shot,h2h_games,h2h_point,pp_share,opp_pk_l10_est,opp_tsh_per_game,opp_penalty_volume,l5_max_gap_surge,l5_toi_drop_penalty,l5_m5_m10_regression
False,1,1.0,1.2,8479520,8.1,6.3,,12.3,,4.4,0.0,59,0.068,0.7,8,6,,0.102,0.034,,0,0,0,0,2025020911,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8484177,21.4,10.9,,38.2,,21.0,0.0,9,0.222,1.1,21,10,,0.444,0.222,,0,0,0,1,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8477015,19.5,18.2,,37.9,,22.5,0.0,50,0.2,1.4,19,18,,0.44,0.24,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8481721,16.8,40.2,,37.5,,24.4,0.0,53,0.17,2.2,16,40,,0.434,0.264,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8479996,26.8,25.9,,36.7,,13.2,0.0,45,0.289,1.7,26,25,,0.422,0.133,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8476462,13.5,54.8,,35.4,,24.8,0.0,52,0.135,2.8,13,54,,0.404,0.269,,0,0,0,1,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,0,1.0,1.3,8482671,9.1,32.9,,33.2,,26.6,0.0,56,0.071,1.6,9,32,,0.304,0.232,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8483495,18.2,20.6,,39.5,,25.6,0.0,43,0.186,1.5,18,20,,0.465,0.279,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8475455,5.5,3.7,,20.4,,15.4,0.0,57,0.053,0.7,5,3,,0.211,0.158,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
False,1,1.0,1.0,8481032,9.5,6.2,,18.1,,9.4,0.0,54,0.093,0.9,9,6,,0.185,0.093,,0,0,0,0,2025020910,2026-02-26T00:00:00+00:00,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
